as_of_date,issuer,etf_name,error
2026-01-01,삼성,S&P500,Empty response for S&P500 2026-01-01
2026-01-01,삼성,KODEX S&P500,Empty response for KODEX S&P500 2026-01-01
2026-01-01,삼성,나스닥100,Empty response for 나스닥100 2026-01-01
2026-01-01,삼성,KOACT 나스닥,Empty response for KOACT 나스닥 2026-01-01
2026-02-16,삼성,S&P500,Empty response for S&P500 2026-02-16
2026-02-16,삼성,KODEX S&P500,Empty response for KODEX S&P500 2026-02-16
2026-02-16,삼성,나스닥100,Empty response for 나스닥100 2026-02-16
2026-02-16,삼성,KOACT 나스닥,Empty response for KOACT 나스닥 2026-02-16
2026-02-17,삼성,S&P500,Empty response for S&P500 2026-02-17
2026-02-17,삼성,KODEX S&P500,Empty response for KODEX S&P500 2026-02-17
2026-02-17,삼성,나스닥100,Empty response for 나스닥100 2026-02-17
2026-02-17,삼성,KOACT 나스닥,Empty response for KOACT 나스닥 2026-02-17
2026-02-18,삼성,S&P500,Empty response for S&P500 2026-02-18
2026-02-18,삼성,KODEX S&P500,Empty response for KODEX S&P500 2026-02-18
2026-02-18,삼성,나스닥100,Empty response for 나스닥100 2026-02-18
2026-02-18,삼성,KOACT 나스닥,Empty response for KOACT 나스닥 2026-02-18
2026-03-02,삼성,S&P500,Empty response for S&P500 2026-03-02
2026-03-02,삼성,KODEX S&P500,Empty response for KODEX S&P500 2026-03-02
2026-03-02,삼성,나스닥100,Empty response for 나스닥100 2026-03-02
2026-03-02,삼성,KOACT 나스닥,Empty response for KOACT 나스닥 2026-03-02
2026-05-01,삼성,S&P500,Empty response for S&P500 2026-05-01
2026-05-01,삼성,KODEX S&P500,Empty response for KODEX S&P500 2026-05-01
2026-05-01,삼성,나스닥100,Empty response for 나스닥100 2026-05-01
2026-05-01,삼성,KOACT 나스닥,Empty response for KOACT 나스닥 2026-05-01
2026-05-05,삼성,S&P500,Empty response for S&P500 2026-05-05
2026-05-05,삼성,KODEX S&P500,Empty response for KODEX S&P500 2026-05-05
2026-05-05,삼성,나스닥100,Empty response for 나스닥100 2026-05-05
2026-05-05,삼성,KOACT 나스닥,Empty response for KOACT 나스닥 2026-05-05
